date,review,sentiment,score
06-04-2024,"A place I love to go is where I like to relax with friends in the evening, savoring treats like banana chips and Berliners, especially Cold coffee. What sets it apart is the outstanding service; whenever help is needed, Dhruv and Aftab, in particular, are always quick to assist and incredibly helpful. I highly recommend it!",excellent,415.8
06-04-2024,"Hi, if it is not that much of an issue to the owner, can the owner call me personally. The owner and not the employees who claim to be the owner themselves. There is so much issue in your cafe it’s just getting annoying. These are my last days in Bombay. I wanted to enjoy ettara every night like I did in the past 2 years but there is no improvement.",negative,200.13
06-04-2024,"So we were having coffee and some snacks at night around 1 and one of the staff called dhruv came and took away our chips while we were eating, without asking us. This behaviour is not acceptable i even told the manager that time but no action has been taken since , ettara used to be my go to place for coffee at night but since the staff has been changed it has become terrible. Please get back the old staff which used to be at night. Before the staff change it was a very nice place to hang out at night.",very negative,228.57
06-05-2024,Feedback for the store. : The Vada pav is good but the packaging is flawed. The steam from the Vada pav makes the pav soggy by the time it reaches u. So the packaging needs small holes to let the steam out similar to what domino’s pizza boxes have.,neutral,181.8
06-05-2024,superb coffee...great staff...they give u taste which again is a great idea ...love their papa roti must try,excellent,366.3
06-05-2024,thank you for the chips ,excellent,171.27
06-05-2024,Visited place seeing the reviews with lot of excitement but came to my surprise that they do not have proper seating arrangement inside. it seems they only have 2 tables inside and when asked why they were impolite in saying we only have outside seating in the noise. I am sure the food would be delicious but sadly i couldn't get that chance of rather the experience wasn't friendly hence 0.,very negative,265.65
06-05-2024,The burliner was amazing and kema pav was very delicious And specially the service was very good by av,excellent,226.27
06-05-2024,"Classy, decent and music vibe is excellent. Special mention , a smiling Allah Baksh . Must visit for variety of delicacies. Juhu in the backdrop.",positive,260.46
06-05-2024,Excellent coffee lovely ambience n friendly staff . It’s a great place to chill n enjoy ur coffee.,excellent,390.81
06-05-2024,"Placed in the lobby of Juhu Residency hotel, Ettarra serves excellent coffee. We had the flat white, and the filter coffee, and both were simply amazing. The banana chips are a nice touch. The servers were very nice and helpful. ",excellent,379.14
11-05-2024,"Thank you AB for the amazing service and suggestions, you have always have been a wonderful host here !!!",excellent,369.23
11-05-2024,"Excellent Coffee shop,loved the service by Ab... the Staff is very humble Coffee ☕ is outstanding baked Vada pav is very good the best part is the chips which they serve with Coffee highly recommend this place for all Coffee lovers ",excellent,355.43
12-05-2024,"Fantastic experience, I have been visiting since the last two years. Love the hazelnut frappuccino. And of course, the banana chips here.. my favourite go to place",excellent,404.17
17-05-2024,"Food is amazing also people are kind , has a friendly environment",excellent,292.91
18-05-2024,great service by ab,excellent,236.87
20-05-2024,Enjoyed the whole experience! Special mention to Asif for catering us,positive,257.73
25-05-2024,The filter coffee was brilliant and so were snacks. We had the drizzled paparoti and Nutella Berliner which were lip smacking good. They serve complimentary banana chips which were one of the best I have had in a while. Asif Sheikh- our server was very courteous.,positive,75.96
25-05-2024,"One of the best places to go to, for a vibe, indie music, and some of the most amazing coffees. If you do come here do try the tarts.",excellent,372.22
27-05-2024,You forgot to send sugar with coffee/the rest of your coffee is good,positive,109.5
02-06-2024,"Many stories with the place,,,,, it has this unexplained vibe which attracts me everytime and to be specific, I have got all my special friends to visit her",excellent,249.18
